ID_REF,200987_x_at,201219_at,201386_s_at,201866_s_at,201898_s_at,202066_at,202300_at,202479_s_at,202489_s_at,202688_at,203168_at,203676_at,203851_at,203874_s_at,204047_s_at,204151_x_at,204391_x_at,204493_at,204557_s_at,204633_s_at,204806_x_at,204846_at,204863_s_at,204880_at,205404_at,205726_at,205984_at,206174_s_at,206925_at,206989_s_at,207266_x_at,207757_at,207899_at,208245_at,208601_s_at,208882_s_at,208944_at,209015_s_at,209156_s_at,209493_at,209523_at,209699_x_at,209735_at,209788_s_at,209959_at,210210_at,210506_at,210639_s_at,211582_x_at,211653_x_at,211794_at,211799_x_at,211904_x_at,212094_at,212238_at,212294_at,213680_at,213694_at,213900_at,214244_s_at,214283_at,214379_at,214565_s_at,215219_at,215663_at,215814_at,216373_at,216457_s_at,216652_s_at,217166_at,217380_s_at,217536_x_at,217757_at,217855_x_at,217863_at,217961_at,218075_at,218259_at,218357_s_at,218411_s_at,218454_at,219324_at,219530_at,219595_at,219699_at,219731_at,219869_s_at,220418_at,220433_at,220622_at,220641_at,220691_at,221011_s_at,221715_at,221780_s_at,221966_at,221967_at,222217_s_at,222273_at,52741_at,Group
GSM317432,4.2942705,0.6666667,11.4869795,2.8177083,3.4921875,2.893229,12.1484375,2.8645833,0.065104164,3.388021,1.0677083,0.87499994,2.1953125,2.3046875,0.7317708,5.7005205,1.6510416,1.71875,1.640625,3.5546875,6.7317705,0.5104167,0.8697917,1.5052083,1.25,2.5859375,1.6666666,5.114583,0.5494792,1.7734374,4.8645835,0.7578125,0.033854164,0.065104164,0.078125,2.8385415,1.8515624,1.3333334,0.30729166,7.919271,2.1328125,3.5260415,0.484375,0.5989583,0.27604166,1.25,0.21874999,1.4765625,0.890625,3.765625,0.484375,3.5963542,0.13541666,5.346354,1.8463541,1.3776041,0.6875,2.5546875,2.7682292,0.026041666,1.1510416,0.2708333,0.15885416,0.015625,0.4427083,0.21354166,0.046874996,2.440104,1.1770834,0.29427084,0.09374999,0.26302084,5.2552085,3.8489583,2.1822917,1.6718749,1.3385416,14.661458,12.755208,0.51562494,0.9322916,1.046875,1.0312499,1.7760415,0.5130208,1.3489583,1.0546875,0.15104167,0.12239583,0.033854164,0.13020833,0.4609375,1.8359375,1.1276041,1.4817709,1.3229166,1.1015625,1.3307291,1.7317708,1.296875,control
GSM317434,3.376344,0.8333333,14.854837,3.1881719,3.5376344,1.4408602,13.693547,3.1935482,0.059139784,1.1989247,0.94086015,1.3978494,3.1827955,1.1612903,0.38709673,8.010753,0.97311825,1.6827955,0.091397844,2.9623654,4.596774,0.037634406,0.58064514,1.8655913,1.1774193,1.0430107,2.2849462,4.645161,0.6612903,1.1612903,4.725806,0.8333333,0.10215053,0.021505376,0.22580643,1.4892473,2.7580643,0.9247312,0.77419347,2.784946,0.80645156,4.9623656,6.5752687,0.6129032,2.6505375,0.516129,0.043010753,1.4408602,0.77419347,3.6290321,0.42473117,0.7580645,0.49462363,1.7150537,2.9193547,1.6505376,0.37096772,1.9623655,1.4838709,0.29032257,0.6935483,0.6666666,0.15591398,0.059139784,0.14516129,0.86559135,0.47849458,3.0376341,1.2741935,0.24731182,0.44086018,0.14516129,21.591396,3.9301074,0.91397846,1.4946235,2.2903223,7.4946227,16.295698,0.43548387,0.053763438,1.736559,0.7956989,2.505376,0.4623656,1.8010752,1.1290323,0.112903215,0.12903225,0.053763438,0.47849458,0.68817204,3.8064516,2.2634406,0.81720424,3.892473,0.7473118,0.8870967,0.4623656,1.3010752,control
GSM317435,5.211165,0.88349515,8.490291,3.4490292,2.9368932,2.2184465,12.701456,4.135922,0.45631066,1.6796116,1.3883495,0.86165047,2.252427,2.2038834,0.737864,6.201456,1.4635922,1.4368932,1.4029126,3.9902909,3.8859224,0.368932,0.89805824,1.6456311,1.6650485,1.5169903,1.5024272,4.711165,0.47330096,1.2791262,2.5703883,0.32038835,0.07038835,0.12864077,0.44902912,2.8373785,3.6359222,0.776699,0.71359223,7.4053397,1.6941748,3.3883495,4.1334953,0.25,1.6674756,0.6140776,0.048543688,1.6237864,0.78398055,3.7281554,0.13106796,2.002427,0.40048543,4.7936893,2.0631068,2.053398,0.7281553,2.9417474,1.9538834,0.053398058,1.4635922,0.35679612,0.0461165,0.016990291,0.097087376,0.19902912,0.12864077,3.0242717,1.2087379,0.15048543,0.14805825,0.097087376,19.723299,5.3592234,1.9805825,1.9077669,1.3276699,17.468447,11.402912,1.1310679,0.4538835,1.6262136,1.2524271,2.1747572,0.342233,1.1990291,0.8713592,0.053398058,0.036407765,0.029126214,0.70873785,0.5315534,2.762136,0.40776697,1.711165,1.8373785,1.0461165,1.1359223,1.5728155,1.0242718,control
GSM317436,5.1644144,1,9.324325,3.0405405,3.06982,1.804054,14.475225,2.6914413,0.10135135,1.2387388,1.222973,0.6554054,2.3873873,3.4346845,0.4054054,5.8716216,1.481982,1.6306306,1.7995496,6.3153152,3.4707208,0.3671171,0.6261261,1.5405406,2.3175676,1.8288287,1.7027026,4.9189186,0.27702704,1.6644144,2.4864864,0.33783785,0.04954955,0.13288288,0.045045044,2.921171,1.7792792,0.759009,0.8265766,9.1418915,1.9144144,4.11036,3.2995496,0.16891892,1.5067568,1.2522522,0.04954955,2.3986485,0.18018018,2.8423421,0.10585585,1.5337837,0.23648648,7.1711707,2.1734233,1.3806306,0.3873874,3.2905407,1.4527026,0.08108108,1.0765766,0.5315315,0.1036036,0.018018018,0.10810811,0.45045045,0.23198198,2.1193693,0.87387383,0.3873874,0.033783782,0.15765765,11.558558,3.054054,2.0608108,2.4234233,1.1621621,17.536036,13.254504,0.9211712,0.6869369,1.7545046,1.3873873,2.3806305,0.63738734,1.259009,0.8423424,0.08558559,0.18018018,0.022522522,0.6036036,0.3963964,1.945946,0.4842342,1.2837838,2.376126,0.81981987,0.8490991,1.9436938,0.7747748,control
GSM317438,3.6710098,1.0260587,5.9185667,2.0912051,2.3843648,2.1433227,13.674267,2.296417,0.0781759,2.801303,0.78827363,0.5342019,2.2214983,2.2117264,0.6384365,5.1270356,1.9153094,1.1661237,1.3127036,4.029316,3.8827362,0.39413682,0.6058632,1.6742672,2.8175895,2.7003257,0.6188925,4.4495115,0.3029316,1.1693811,2.8534203,0.5537459,0.08469055,0.013029316,0.5504886,3.2899022,2.631922,1.0716614,0.8469055,9.605863,1.9153094,3.2345278,3.1824102,0.5309446,0.7296417,1.0162867,0.19869706,1.3583062,0.21498372,3.4136808,0.18241042,1.257329,0.42996743,4.2833877,1.8501629,4.117264,0.1791531,3.5081432,1.7263844,0.045602605,1.2182411,0.5374593,0.06840391,0.03583062,0.36156353,0.22801304,0.09120521,2.175896,0.69381106,0.042345274,0.43648207,0.23778503,14.355049,4.8762217,2.1009772,1.970684,1.8338763,17.02606,13.716613,0.8175896,0.42996743,1.4201955,1.1074919,2.7557003,0.4136808,1.5276873,1.4267101,0.06188925,0.03583062,0.03257329,0.8045603,0.5504886,2.2084692,0.47231272,1.237785,2.3583062,0.9315961,0.7850163,1.6156352,1.5830618,control
GSM317441,2.4756098,1.6829269,6.445122,1.4146342,2.2743902,1.8231708,11.841463,3.1097562,0.07926829,0.28658536,0.6402439,0.6219512,3.4146342,2.0914633,0.93292683,8.70122,1.7439024,1.3780488,1.1280488,4.8414636,6.3170733,4.9939027,1.7256098,2.9695122,1.042683,1.5243902,0.8719512,2.8231707,0.37804878,1.6829269,2.378049,0.4390244,0.16463415,0.03658537,0.12195122,3.5243902,4.652439,1.25,0.9756098,4.4390244,1.2682927,4.9878054,7.4390244,1.25,0.41463417,1.3902439,0.067073174,1.5182927,0.17073171,6.7621956,0.15853658,2.5182927,0.11585366,4.542683,2.0731707,3.695122,0.6707317,2.0792682,4.1036587,0.1097561,0.5853659,0.9268293,0.26219514,0.1097561,0.9207317,0.25609756,0.030487806,2.2500002,0.84146345,0.085365854,0.6707317,0.34756097,27,3.3170733,1.4085367,1.8597561,0.8353659,7.72561,13.70122,0.6463415,0.51829267,1.3292683,0.93292683,2.6768293,0.75609756,1.6158537,2.3658538,0.12195122,0.10365854,0.04878049,1.9390244,1.0060976,1.4878049,0.9085366,1.0487806,2.0914633,1.7500001,1.7743903,1.3109757,1.8109757,control
GSM317442,5.3100777,0.8856589,8.903101,3.0387597,3.114341,2.846899,12.73062,2.498062,0.07364341,0.9748062,1.0891473,0.75581396,2.3217056,2.2093024,0.5581395,5.9166665,2.261628,1.6492248,1.0523256,4.6782947,3.2771318,0.21705426,0.9437985,1.507752,2.8585272,2.015504,1.6860465,5.5639534,0.21899225,1.75,2.9631782,0.41666666,0.20348836,0.005813954,0.050387595,3.4457364,1.6782945,0.7267442,0.80813956,7.9282947,1.8449612,4.125969,3.4360466,0.7151163,1.2441859,0.8236434,0.027131783,1.7344961,0.91085273,4.2984495,0.37403098,1.7073643,0.12403101,6.24031,2.003876,1.4476744,0.3352713,2.9689922,1.5930232,0.20930232,1.0775193,0.4127907,0.40310076,0.03488372,0.14341085,0.251938,0.13759689,2.7558138,0.99999994,0.31007752,0.058139533,0.20348836,12.8953495,4.6996126,1.8817829,2.2170544,1.8798449,15.872093,13.968992,0.79457366,0.5116279,1.6647288,0.9457364,2.5290697,0.7635659,1.3178295,0.9534884,0.062015504,0.07364341,0.032945737,0.78488374,0.7015504,3.1782947,0.6763566,1.5116279,1.6492248,1.0329458,0.9011628,1.9554263,1.131783,control
GSM317447,5.5867057,0.9479769,10.858382,2.7052023,3.1907516,2.6647398,14.138729,3.3208094,0.109826595,1.3294798,0.92485553,0.5433526,2.1965318,2.8410406,0.92485553,9.381503,1.6300579,1.8872834,1.2716763,4.2052026,4.3439307,0.50867057,0.69075143,1.4624277,2.82948,1.6618497,1.2919075,4.875723,0.3410405,1.632948,3.8410404,0.6473989,0.0982659,0.17341042,0.31791908,2.7369943,2.1589596,1.3670521,0.699422,6.2716765,1.83237,5.210983,4.294798,0.08092486,0.8526012,0.7601156,0.03179191,1.6791908,0.7543353,5.5000005,0.1531792,1.7254336,0.36127168,5.9248557,1.947977,1.5028902,0.682081,2.864162,1.7947978,0.06936417,0.6763006,0.2716763,0.0982659,0.054913297,0.2630058,0.20520231,0.017341042,1.8034683,1.1184971,0.15606937,0.40751448,0.19075145,16.540462,3.6358385,1.4595376,1.9855491,1.6965319,15.945087,13.508671,0.7514451,0.81502897,1.6589596,0.92485553,2.3468208,0.48554912,1.1791908,1.0895954,0.06936417,0.11271677,0.03179191,0.46820813,0.4248555,3.930636,0.56358385,1.6416185,1.4942198,0.7947977,0.69653183,1.4104047,0.79190755,control
GSM317449,6.105263,1.2535886,10.866029,3.0956936,3.949761,2.7751198,15.0741625,3.5263157,0.059808612,1.5550239,1.2105263,0.5263158,3.3923447,2.368421,0.430622,10.229666,1.9976077,1.7392344,2.0382774,5.3851676,4,0.1770335,0.6698565,1.354067,1.7464116,2.5311005,1.4521532,5.131579,0.36363637,2.3803828,4.1674643,0.8444976,0.05741627,0.028708136,0.16746412,3.4569378,2.2033494,1.0861244,0.64593303,10.4258375,2.4066985,5.002393,4.949761,0.430622,2.3732057,0.9832536,0.045454547,1.6961724,1.1578948,6.198565,0.08373206,1.9736843,0.215311,7.366029,2.2057416,1.8421053,0.06459331,2.9736843,1.5119618,0.059808612,0.8564593,0.49282297,0.055023924,0.05741627,0.2631579,0.16267943,0.20813397,3.755981,1.3181818,0.215311,0.13636364,0.11004785,15.765551,6.7511964,2.744019,2.88756,1.6052631,22.717703,12.35646,0.5382775,0.46411484,1.8851676,1.5598086,2.95933,0.4712919,1.3923446,0.95933014,0.28708136,0.07177034,0.0215311,0.3062201,0.4736842,3.0502393,0.34210527,1.8779905,1.8660288,0.92583734,0.83253586,2.035885,0.64593303,control
GSM317452,5.778742,1.2169198,8.234274,2.6117136,3.3383946,2.813449,17.748373,1.6529284,0.06507592,1.4967462,0.8872018,0.73969626,2.9978309,3.8937094,0.7483731,9.236443,1.6399132,1.7613883,2.373102,7.130152,3.6876357,0.54013014,0.362256,1.6312364,1.6420823,2.394794,1.8481561,6.429501,0.093275495,1.7939262,3.7483733,0.5900217,0.060737528,0.036876358,0.5010846,3.5314534,2.7635574,1.438178,0.83947945,10.548807,3.427332,6.4989157,4.9501085,0.38611713,1.6420823,0.99132323,0.047722343,2.0954447,0.15401301,6.587853,0.39696312,1.5314534,0.2364425,15.134491,1.3557484,1.2386117,0.46637744,3.3101954,1.1084598,0.06507592,0.29934925,0.43167028,0.12364425,0.03253796,0.35357916,0.17787418,0.09544469,3.7483733,0.9587853,0.20824297,0.29501086,0.06941432,16.720173,4.1691976,3.308026,2.7396965,0.99132323,21.83514,12.281996,1.1518438,0.106290676,1.5683298,1.1062907,2.0412147,1.0173537,1.1301519,1.4295012,0.06290673,0.0867679,0.04338395,0.5097614,0.28850326,3.3752713,0.4360087,1.5075922,1.0737528,0.7809111,0.813449,1.4707159,1.1301519,control
GSM317453,5.6899443,0.4664805,8.793296,2.8324025,3.234637,2.036313,11.882682,2.5586593,0.11173185,1.9441341,0.8072626,0.86312854,2.7486036,2.1173186,0.5837989,7.446928,1.2513967,1.659218,1.611732,4.382682,4.248604,0.10055866,0.67877096,1.1229051,1.8603352,1.4106146,1.5027933,4.723464,0.24581008,1.9189944,3.301676,0.07821229,0.11452515,0.10055866,0.027932962,2.5810058,2.7178774,0.77653635,0.86592185,7.4050283,2.1899443,5.874302,6.307263,0.56703913,0.77653635,1.0698324,0.31843576,2.0530727,0.08938548,5.120112,0.13687152,1.3631285,0.66480446,7.29609,1.6843576,1.3324023,0.5921788,2.4273744,0.70391065,0.2960894,1.3743018,0.78770953,0.32122907,0.18715084,0.2932961,0.19832402,0.12290504,5.103352,1.0083799,0.31005588,0.10893855,0.17318437,17.192738,2.6815643,1.7262571,2.3212292,1.6675979,16.251398,11.282124,0.5167598,0.19273745,1.4106146,0.7932961,2.5418997,0.081005596,1.8798884,1.5139666,0.17039107,0.18994415,0.039106146,0.31843576,0.6703911,3.5251398,0.19832402,1.3882682,0.5167598,0.9748604,1.5586593,1.5810056,1.5111732,control
