ID_REF,215219_at,208245_at,210506_at,220418_at,220622_at,214565_s_at,214244_s_at,207899_at,216373_at,217166_at,206925_at,208601_s_at,211904_x_at,220433_at,217380_s_at,211794_at,217536_x_at,215814_at,213680_at,215663_at,214379_at,202489_s_at,204047_s_at,218454_at,207757_at,219699_at,209788_s_at,203676_at,209156_s_at,204863_s_at,218411_s_at,214283_at,203168_at,216652_s_at,221967_at,201219_at,222217_s_at,52741_at,221715_at,220641_at,219731_at,218075_at,219869_s_at,204557_s_at,210210_at,219530_at,219324_at,221966_at,204391_x_at,209015_s_at,204880_at,211799_x_at,204846_at,206989_s_at,209959_at,222273_at,212238_at,202688_at,209523_at,201866_s_at,202479_s_at,217863_at,205726_at,213900_at,203874_s_at,217961_at,203851_at,209735_at,Group
GSM317432,0.015625,0.065104164,0.21874999,0.15104167,0.033854164,0.15885416,0.026041666,0.033854164,0.046874996,0.29427084,0.5494792,0.078125,0.13541666,0.12239583,0.09374999,0.484375,0.26302084,0.21354166,0.6875,0.4427083,0.2708333,0.065104164,0.7317708,0.9322916,0.7578125,0.5130208,0.5989583,0.87499994,0.30729166,0.8697917,0.51562494,1.1510416,1.0677083,1.1770834,1.1015625,0.6666667,1.3307291,1.296875,1.1276041,0.13020833,1.3489583,1.3385416,1.0546875,1.640625,1.25,1.0312499,1.046875,1.3229166,1.6510416,1.3333334,1.5052083,3.5963542,0.5104167,1.7734374,0.27604166,1.7317708,1.8463541,3.388021,2.1328125,2.8177083,2.8645833,2.1822917,2.5859375,2.7682292,2.3046875,1.6718749,2.1953125,0.484375,control
GSM317434,0.059139784,0.021505376,0.043010753,0.112903215,0.053763438,0.15591398,0.29032257,0.10215053,0.47849458,0.24731182,0.6612903,0.22580643,0.49462363,0.12903225,0.44086018,0.42473117,0.14516129,0.86559135,0.37096772,0.14516129,0.6666666,0.059139784,0.38709673,0.053763438,0.8333333,0.4623656,0.6129032,1.3978494,0.77419347,0.58064514,0.43548387,0.6935483,0.94086015,1.2741935,0.7473118,0.8333333,0.8870967,1.3010752,2.2634406,0.47849458,1.8010752,2.2903223,1.1290323,0.091397844,0.516129,0.7956989,1.736559,3.892473,0.97311825,0.9247312,1.8655913,0.7580645,0.037634406,1.1612903,2.6505375,0.4623656,2.9193547,1.1989247,0.80645156,3.1881719,3.1935482,0.91397846,1.0430107,1.4838709,1.1612903,1.4946235,3.1827955,6.5752687,control
GSM317435,0.016990291,0.12864077,0.048543688,0.053398058,0.029126214,0.0461165,0.053398058,0.07038835,0.12864077,0.15048543,0.47330096,0.44902912,0.40048543,0.036407765,0.14805825,0.13106796,0.097087376,0.19902912,0.7281553,0.097087376,0.35679612,0.45631066,0.737864,0.4538835,0.32038835,0.342233,0.25,0.86165047,0.71359223,0.89805824,1.1310679,1.4635922,1.3883495,1.2087379,1.0461165,0.88349515,1.1359223,1.0242718,0.40776697,0.70873785,1.1990291,1.3276699,0.8713592,1.4029126,0.6140776,1.2524271,1.6262136,1.8373785,1.4635922,0.776699,1.6456311,2.002427,0.368932,1.2791262,1.6674756,1.5728155,2.0631068,1.6796116,1.6941748,3.4490292,4.135922,1.9805825,1.5169903,1.9538834,2.2038834,1.9077669,2.252427,4.1334953,control
GSM317436,0.018018018,0.13288288,0.04954955,0.08558559,0.022522522,0.1036036,0.08108108,0.04954955,0.23198198,0.3873874,0.27702704,0.045045044,0.23648648,0.18018018,0.033783782,0.10585585,0.15765765,0.45045045,0.3873874,0.10810811,0.5315315,0.10135135,0.4054054,0.6869369,0.33783785,0.63738734,0.16891892,0.6554054,0.8265766,0.6261261,0.9211712,1.0765766,1.222973,0.87387383,0.81981987,1,0.8490991,0.7747748,0.4842342,0.6036036,1.259009,1.1621621,0.8423424,1.7995496,1.2522522,1.3873873,1.7545046,2.376126,1.481982,0.759009,1.5405406,1.5337837,0.3671171,1.6644144,1.5067568,1.9436938,2.1734233,1.2387388,1.9144144,3.0405405,2.6914413,2.0608108,1.8288287,1.4527026,3.4346845,2.4234233,2.3873873,3.2995496,control
GSM317438,0.03583062,0.013029316,0.19869706,0.06188925,0.03257329,0.06840391,0.045602605,0.08469055,0.09120521,0.042345274,0.3029316,0.5504886,0.42996743,0.03583062,0.43648207,0.18241042,0.23778503,0.22801304,0.1791531,0.36156353,0.5374593,0.0781759,0.6384365,0.42996743,0.5537459,0.4136808,0.5309446,0.5342019,0.8469055,0.6058632,0.8175896,1.2182411,0.78827363,0.69381106,0.9315961,1.0260587,0.7850163,1.5830618,0.47231272,0.8045603,1.5276873,1.8338763,1.4267101,1.3127036,1.0162867,1.1074919,1.4201955,2.3583062,1.9153094,1.0716614,1.6742672,1.257329,0.39413682,1.1693811,0.7296417,1.6156352,1.8501629,2.801303,1.9153094,2.0912051,2.296417,2.1009772,2.7003257,1.7263844,2.2117264,1.970684,2.2214983,3.1824102,control
GSM317441,0.1097561,0.03658537,0.067073174,0.12195122,0.04878049,0.26219514,0.1097561,0.16463415,0.030487806,0.085365854,0.37804878,0.12195122,0.11585366,0.10365854,0.6707317,0.15853658,0.34756097,0.25609756,0.6707317,0.9207317,0.9268293,0.07926829,0.93292683,0.51829267,0.4390244,0.75609756,1.25,0.6219512,0.9756098,1.7256098,0.6463415,0.5853659,0.6402439,0.84146345,1.7500001,1.6829269,1.7743903,1.8109757,0.9085366,1.9390244,1.6158537,0.8353659,2.3658538,1.1280488,1.3902439,0.93292683,1.3292683,2.0914633,1.7439024,1.25,2.9695122,2.5182927,4.9939027,1.6829269,0.41463417,1.3109757,2.0731707,0.28658536,1.2682927,1.4146342,3.1097562,1.4085367,1.5243902,4.1036587,2.0914633,1.8597561,3.4146342,7.4390244,control
GSM317442,0.03488372,0.005813954,0.027131783,0.062015504,0.032945737,0.40310076,0.20930232,0.20348836,0.13759689,0.31007752,0.21899225,0.050387595,0.12403101,0.07364341,0.058139533,0.37403098,0.20348836,0.251938,0.3352713,0.14341085,0.4127907,0.07364341,0.5581395,0.5116279,0.41666666,0.7635659,0.7151163,0.75581396,0.80813956,0.9437985,0.79457366,1.0775193,1.0891473,0.99999994,1.0329458,0.8856589,0.9011628,1.131783,0.6763566,0.78488374,1.3178295,1.8798449,0.9534884,1.0523256,0.8236434,0.9457364,1.6647288,1.6492248,2.261628,0.7267442,1.507752,1.7073643,0.21705426,1.75,1.2441859,1.9554263,2.003876,0.9748062,1.8449612,3.0387597,2.498062,1.8817829,2.015504,1.5930232,2.2093024,2.2170544,2.3217056,3.4360466,control
GSM317447,0.054913297,0.17341042,0.03179191,0.06936417,0.03179191,0.0982659,0.06936417,0.0982659,0.017341042,0.15606937,0.3410405,0.31791908,0.36127168,0.11271677,0.40751448,0.1531792,0.19075145,0.20520231,0.682081,0.2630058,0.2716763,0.109826595,0.92485553,0.81502897,0.6473989,0.48554912,0.08092486,0.5433526,0.699422,0.69075143,0.7514451,0.6763006,0.92485553,1.1184971,0.7947977,0.9479769,0.69653183,0.79190755,0.56358385,0.46820813,1.1791908,1.6965319,1.0895954,1.2716763,0.7601156,0.92485553,1.6589596,1.4942198,1.6300579,1.3670521,1.4624277,1.7254336,0.50867057,1.632948,0.8526012,1.4104047,1.947977,1.3294798,1.83237,2.7052023,3.3208094,1.4595376,1.6618497,1.7947978,2.8410406,1.9855491,2.1965318,4.294798,control
GSM317449,0.05741627,0.028708136,0.045454547,0.28708136,0.0215311,0.055023924,0.059808612,0.05741627,0.20813397,0.215311,0.36363637,0.16746412,0.215311,0.07177034,0.13636364,0.08373206,0.11004785,0.16267943,0.06459331,0.2631579,0.49282297,0.059808612,0.430622,0.46411484,0.8444976,0.4712919,0.430622,0.5263158,0.64593303,0.6698565,0.5382775,0.8564593,1.2105263,1.3181818,0.92583734,1.2535886,0.83253586,0.64593303,0.34210527,0.3062201,1.3923446,1.6052631,0.95933014,2.0382774,0.9832536,1.5598086,1.8851676,1.8660288,1.9976077,1.0861244,1.354067,1.9736843,0.1770335,2.3803828,2.3732057,2.035885,2.2057416,1.5550239,2.4066985,3.0956936,3.5263157,2.744019,2.5311005,1.5119618,2.368421,2.88756,3.3923447,4.949761,control
GSM317452,0.03253796,0.036876358,0.047722343,0.06290673,0.04338395,0.12364425,0.06507592,0.060737528,0.09544469,0.20824297,0.093275495,0.5010846,0.2364425,0.0867679,0.29501086,0.39696312,0.06941432,0.17787418,0.46637744,0.35357916,0.43167028,0.06507592,0.7483731,0.106290676,0.5900217,1.0173537,0.38611713,0.73969626,0.83947945,0.362256,1.1518438,0.29934925,0.8872018,0.9587853,0.7809111,1.2169198,0.813449,1.1301519,0.4360087,0.5097614,1.1301519,0.99132323,1.4295012,2.373102,0.99132323,1.1062907,1.5683298,1.0737528,1.6399132,1.438178,1.6312364,1.5314534,0.54013014,1.7939262,1.6420823,1.4707159,1.3557484,1.4967462,3.427332,2.6117136,1.6529284,3.308026,2.394794,1.1084598,3.8937094,2.7396965,2.9978309,4.9501085,control
